X,Y,objectid,match_addr,company_name,nace_rev_2_code,kod,interval,odvětví,industry
16.593781624,49.1913700750001,5841,"Mendlovo náměstí 157/1, 603 00, Staré Brno, Brno-střed, Brno, Brno-město, Jihomoravský kraj","Lesy augustiniánského opatství, s.r.o.",240,24,10 - 19,Podpůrné činnosti pro lesnictví,Support services to forestry
16.555933979,49.2088837270001,5842,"Veslařská 837/36, 637 00, Jundrov, Brno-Jundrov, Brno, Brno-město, Jihomoravský kraj",M A V  s.r.o.,4120,41,10 - 19,Výstavba bytových a nebytových budov,Construction of residential and non-residential buildings
16.572084062,49.1685555820001,5843,"Švermova 654/9, 625 00, Bohunice, Brno-Bohunice, Brno, Brno-město, Jihomoravský kraj",Kavkaz restaurant s.r.o.,5610,56,10 - 19,Poskytování stravování a podávání nápojů,Food and beverage service activities
16.58153273,49.2257662210001,5844,"Purkyňova 2855/97a, 612 00, Královo Pole, Brno-Královo Pole, Brno, Brno-město, Jihomoravský kraj",DENT UNIT MORAVA s.r.o.,461,46,10 - 19,Velkoobchod,Wholesale trade
16.606244508,49.194357972,5845,"Dominikánské náměstí 656/2, 602 00, Brno-město, Brno-střed, Brno, Brno-město, Jihomoravský kraj","Vašícek a partneri s.r.o., advokátníkancelár",6910,69,10 - 19,Právní a účetnické činnosti,Legal and accounting activities
16.62024631,49.181540408,5846,"Svatopetrská 413/10, 617 00, Komárov, Brno-jih, Brno, Brno-město, Jihomoravský kraj",Rebag Recycling s.r.o.,6820,68,10 - 19,Činnosti v oblasti nemovitostí,Real estate activities
16.607413868,49.1924795040001,5847,"Starobrněnská 334/3, 602 00, Brno-město, Brno-střed, Brno, Brno-město, Jihomoravský kraj",TRIPOLI concept s.r.o.,5610,56,10 - 19,Poskytování stravování a podávání nápojů,Food and beverage service activities
16.593915399,49.181659096,5848,"Vídeňská 255/42, 639 00, Štýřice, Brno-střed, Brno, Brno-město, Jihomoravský kraj",identity branding solutions s.r.o.,7490,74,10 - 19,"Ostatní odborné, vědecké a technické činnosti","Other professional, scientific and technical activities"
16.625782976,49.191365423,5849,"Křenová 274/75, 602 00, Trnitá, Brno-střed, Brno, Brno-město, Jihomoravský kraj",ROJ KEBAB s.r.o.,5610,56,10 - 19,Poskytování stravování a podávání nápojů,Food and beverage service activities
16.5771158860001,49.218147699,5850,"Makovského náměstí 3166/3, 616 00, Žabovřesky, Brno-Žabovřesky, Brno, Brno-město, Jihomoravský kraj","Spolecensko-kulturnícentrum Rubín, príspevková organizace",9002,90,10 - 19,Umělecká tvorba a činnosti v oblasti scénických umění,Arts creation and performing arts activities
16.5934986510001,49.1824678230001,5851,"Vinohrady 841/8a, 639 00, Štýřice, Brno-střed, Brno, Brno-město, Jihomoravský kraj","DERMI, s.r.o.",8622,86,10 - 19,Zdravotní péče,Human health activities
16.678599779,49.199998323,5852,"Zaoralova 3045/1e, 628 00, Líšeň, Brno-Líšeň, Brno, Brno-město, Jihomoravský kraj",HRANICNÃ ZÃMECEK a.s.,6820,68,10 - 19,Činnosti v oblasti nemovitostí,Real estate activities
16.659321569,49.21631311,5853,"Jarní 1064/44g, 614 00, Maloměřice, Brno-Maloměřice a Obřany, Brno, Brno-město, Jihomoravský kraj","NetDataComm, s.r.o.",61,61,10 - 19,Těžba ropy,Extraction of crude petroleum
16.6071183220001,49.2017983360001,5854,"Lidická 700/19, 602 00, Veveří, Brno-střed, Brno, Brno-město, Jihomoravský kraj",CROSS EUROPE s.r.o.,4941,49,10 - 19,Pozemní a potrubní doprava,Land transport and transport via pipelines
16.6048880650001,49.1625692690001,5855,"Pražákova 213/10, 619 00, Horní Heršpice, Brno-jih, Brno, Brno-město, Jihomoravský kraj","EKOLUBE, s.r.o.",1920,19,10 - 19,Výroba koksu a rafinovaných ropných produktů,Manufacture of coke and refined petroleum products
16.6864739060001,49.1770523600001,5856,"Přemyslovo náměstí 6/13, 627 00, Slatina, Brno-Slatina, Brno, Brno-město, Jihomoravský kraj","TECHNICKÃ‰ SLUŽBY Brno-Slatina, príspevková organizace",3811,38,10 - 19,"Sběr odpadů, zpracování odpadů k dalšímu využití a odstraňování odpadů","Waste collection, recovery and disposal activities"
